ks030,마르니,30
ks029,코지,29
ks028,앵그리,28
ks027,씨엘,27
ks026,에일린,26
ks025,스텔라,25
ks024,뉴럭셔리-오렌지,24
ks023,페리(옐로우),23
ks022,페리(블루),22
ks021,루나,21
ks020,파워-분홍,20
ks019,파워-노랑,19
ks018,파워-블루,18
ks017,메르,17
ks016,돌핀,16
ks015,뉴럭셔리-핫핑크반팔,15
ks014,뉴럭셔리-핫핑크민소매,14
ks013,뉴럭셔리-분홍,13
ks012,스포티-블루,12
ks011,스포티-화이트,11
ks010,스포티-옐로우그린,10
ks009,에일린-오렌지민소매,9
ks008,에일린-오렌지카라티,8
ks007,에일린-초록카라티,7
ks006,에일린-초록민소매,6
ks005,버나드,5
ks004,조이,4
ks003,블루지,3
ks002,프리티흰카라티,2
ks001,뷰티풀흰카라티,1
