엔젤,20
앙트레,19
레오-네이비,18
레오-오렌지,17
쇼콜라핫핑크카라티,16
니콜,15
만다린-강아지브이넥,14
미뇽세라,13
뉴쇼콜라-핫핑크,12
뉴쇼콜라-에메랄드,11
쇼콜라투톤민소매,10
쇼콜라투톤반소매,9
클레어,8
뽀미에,7
카로,6
뉴쇼콜라III,5
오랑쥬,4
오스카,3
벤자민,2
넬리,1
